Transcript Id	Gene Name	Read Location	Mate Location	Same Chromosome
		12:18151939-18152039	12:20322105	true
		12:20322105-20322205	12:18151939	true
		12:20520147-20520247	12:17993226	true
		12:21993646-21993737	12:24215073	true
		12:21993670-21993746	12:24215095	true
		12:21993679-21993769	12:24215103	true
		12:24215073-24215165	12:21993646	true
		12:24215095-24215166	12:21993670	true
		12:24215103-24215197	12:21993679	true
ENSMUST00000099028	Gm14391	2:175199916-175200004	2:177319512	true
ENSMUST00000109020	Gm14288	2:175800610-175800709	2:177840008	true
ENSMUST00000108959	Gm14412	2:177319512-177319597	2:175199916	true
ENSMUST00000108939	Gm14325	2:177840008-177840108	2:175800610	true
ENSMUST00000143127	Platr16	4:145412905-145413004	4:147452627	true
ENSMUST00000150529	Platr16	4:145449591-145449691	4:147583812	true
ENSMUST00000150529	Platr16	4:145449599-145449697	4:147583825	true
ENSMUST00000150529	Platr16	4:145449651-145537541	4:147583784	true
ENSMUST00000150529	Platr16	4:145449658-145537548	4:147583802	true
ENSMUST00000150529	Platr16	4:145449672-145537562	4:147583802	true
ENSMUST00000150529	Platr16	4:145449724-145449811	4:147514924	true
ENSMUST00000120870	Gm13230	4:145449772-145449872	4:147583801	true
ENSMUST00000120870	Gm13230	4:145449772-145449872	4:147583853	true
ENSMUST00000120870	Gm13230	4:145449775-145449875	4:147583785	true
ENSMUST00000120870	Gm13230	4:145449807-145449904	4:147583821	true
ENSMUST00000120870	Gm13230	4:145449975-145450071	4:147513101	true
ENSMUST00000120870	Gm13230	4:145449994-145537548	4:147584193	true
ENSMUST00000120870	Gm13230	4:145450551-145450650	4:147514703	true
		4:145451474-145451570	4:147516043	true
ENSMUST00000105742	Gm13225	4:145519087-145519187	4:147560793	true
ENSMUST00000105742	Gm13225	4:145537310-145537578	4:147583802	true
ENSMUST00000105742	Gm13225	4:145537311-145537914	4:147583800	true
ENSMUST00000105742	Gm13225	4:145537312-145537914	4:147583812	true
ENSMUST00000105742	Gm13225	4:145537749-145537849	4:147584193	true
ENSMUST00000105742	Gm13225	4:145537801-145537901	4:147583853	true
ENSMUST00000105742	Gm13225	4:145537802-145537902	4:147583848	true
ENSMUST00000105742	Gm13225	4:145537809-145537908	4:147583812	true
ENSMUST00000105742	Gm13225	4:145537809-145537909	4:147584246	true
ENSMUST00000105742	Gm13225	4:145537815-145537915	4:147584272	true
ENSMUST00000105742	Gm13225	4:145537817-145537917	4:147583785	true
ENSMUST00000105742	Gm13225	4:145537817-145537917	4:147584268	true
ENSMUST00000105742	Gm13225	4:145537819-145537919	4:147583862	true
ENSMUST00000105742	Gm13225	4:145537821-145537917	4:147583820	true
ENSMUST00000105742	Gm13225	4:145537840-145537938	4:147584242	true
ENSMUST00000105742	Gm13225	4:145538778-145538878	4:147584889	true
ENSMUST00000181752	C230088H06Rik	4:147445824-147445924	4:145407033	true
ENSMUST00000181752	C230088H06Rik	4:147445824-147445924	4:145407033	true
ENSMUST00000181752	C230088H06Rik	4:147452627-147452727	4:145412905	true
ENSMUST00000105721	Gm13152	4:147511999-147512087	4:145448911	true
ENSMUST00000105721	Gm13152	4:147512466-147512557	4:145449592	true
ENSMUST00000105721	Gm13152	4:147512574-147512643	4:145450566	true
ENSMUST00000105721	Gm13152	4:147513064-147513139	4:145450345	true
ENSMUST00000105721	Gm13152	4:147513081-147513174	4:145449729	true
ENSMUST00000105721	Gm13152	4:147513083-147513182	4:145450345	true
ENSMUST00000105721	Gm13152	4:147513101-147513201	4:145449975	true
ENSMUST00000105721	Gm13152	4:147513101-147513193	4:145449979	true
		4:147513730-147513810	4:145450345	true
		4:147514580-147514680	4:145449982	true
		4:147514703-147514793	4:145450551	true
		4:147514863-147514963	4:145449724	true
		4:147514924-147515024	4:145449724	true
		4:147515580-147515679	4:145400034	true
		4:147516043-147516141	4:145451474	true
ENSMUST00000139784	Gm13154	4:147559521-147559619	4:145517736	true
ENSMUST00000139784	Gm13154	4:147560793-147560893	4:145519087	true
ENSMUST00000139784	Gm13154	4:147577103-147581315	4:145514928	true
ENSMUST00000081742	Gm13154	4:147583525-147583595	4:145537149	true
ENSMUST00000081742	Gm13154	4:147583784-147583883	4:145449651	true
ENSMUST00000081742	Gm13154	4:147583785-147583885	4:145449775	true
ENSMUST00000081742	Gm13154	4:147583785-147583885	4:145538100	true
ENSMUST00000081742	Gm13154	4:147583785-147583885	4:145537817	true
ENSMUST00000081742	Gm13154	4:147583792-147583892	4:145449805	true
ENSMUST00000081742	Gm13154	4:147583799-147583899	4:145537837	true
ENSMUST00000081742	Gm13154	4:147583800-147583899	4:145537311	true
ENSMUST00000081742	Gm13154	4:147583801-147583901	4:145449772	true
ENSMUST00000081742	Gm13154	4:147583802-147583902	4:145537310	true
ENSMUST00000081742	Gm13154	4:147583802-147583902	4:145449672	true
ENSMUST00000081742	Gm13154	4:147583802-147583902	4:145449658	true
ENSMUST00000081742	Gm13154	4:147583810-147583910	4:145537841	true
ENSMUST00000081742	Gm13154	4:147583812-147584164	4:145449591	true
ENSMUST00000081742	Gm13154	4:147583812-147583912	4:145537312	true
ENSMUST00000081742	Gm13154	4:147583812-147583912	4:145537809	true
ENSMUST00000081742	Gm13154	4:147583820-147584172	4:145537821	true
ENSMUST00000081742	Gm13154	4:147583821-147583921	4:145449807	true
ENSMUST00000081742	Gm13154	4:147583825-147584177	4:145449599	true
ENSMUST00000081742	Gm13154	4:147583848-147583948	4:145537802	true
ENSMUST00000081742	Gm13154	4:147583853-147583953	4:145537801	true
ENSMUST00000081742	Gm13154	4:147583853-147583953	4:145449772	true
ENSMUST00000081742	Gm13154	4:147583862-147583962	4:145537819	true
ENSMUST00000081742	Gm13154	4:147584193-147584271	4:145449994	true
ENSMUST00000081742	Gm13154	4:147584193-147584263	4:145537749	true
ENSMUST00000081742	Gm13154	4:147584242-147584322	4:145537840	true
ENSMUST00000081742	Gm13154	4:147584246-147584346	4:145537809	true
ENSMUST00000081742	Gm13154	4:147584268-147584366	4:145537817	true
ENSMUST00000081742	Gm13154	4:147584272-147584372	4:145537815	true
ENSMUST00000081742	Gm13154	4:147584626-147584715	4:145451099	true
ENSMUST00000081742	Gm13154	4:147584717-147584815	4:145451098	true
ENSMUST00000081742	Gm13154	4:147584717-147584816	4:145451122	true
ENSMUST00000081742	Gm13154	4:147584730-147584830	4:145451096	true
ENSMUST00000081742	Gm13154	4:147584744-147584844	4:145451116	true
ENSMUST00000081742	Gm13154	4:147584763-147584863	4:145451122	true
ENSMUST00000081742	Gm13154	4:147584889-147584968	4:145538778	true
ENSMUST00000081742	Gm13154	4:147584901-147584968	4:145538820	true
