# Version: v1.0.16-src
example_run_id
Level,Yield,Projected Yield,Aligned,Error Rate,Intensity C1,%>=Q30
Read 1,450.55,450.55,2.08,0.34,308,93.44
Read 2 (I),21.00,21.00,0.00,nan,528,94.38
Read 3,450.53,450.53,2.01,1.00,266,85.99
Non-indexed,901.08,901.08,2.04,0.67,287,89.72
Total,922.08,922.08,2.04,0.67,367,89.82


Read 1
Lane,Surface,Tiles,Density,Cluster PF,Phas/Prephas,Phasing Equation,Prephas Equation,Reads,Reads PF,%>=Q30,Yield,Cycles Error,Aligned,Error,Error (35),Error (75),Error (100),Intensity C1
1,-,112,2355 +/- 0,74.00 +/- 3.48,0.121 / 0.085,0.127*c + 0.532,0.085*c + 0.090,482.99,357.41,92.89,53.70,150,1.72 +/- 0.09,0.32 +/- 0.09,0.10 +/- 0.12,0.12 +/- 0.11,0.15 +/- 0.12,341 +/- 16
1,1,56,2355 +/- 0,70.85 +/- 1.88,0.120 / 0.084,0.125*c + 0.662,0.084*c + 0.088,241.49,171.09,91.68,25.71,-,1.75 +/- 0.07,0.33 +/- 0.03,0.08 +/- 0.01,0.12 +/- 0.01,0.14 +/- 0.01,329 +/- 10
1,2,56,2355 +/- 0,77.15 +/- 0.86,0.121 / 0.086,0.130*c + 0.401,0.085*c + 0.092,241.49,186.32,94.00,28.00,-,1.69 +/- 0.10,0.30 +/- 0.13,0.12 +/- 0.16,0.13 +/- 0.15,0.16 +/- 0.16,354 +/- 9
2,-,112,2355 +/- 0,75.50 +/- 2.80,0.117 / 0.083,0.128*c + 0.418,0.086*c + 0.066,482.99,364.66,93.04,54.80,150,1.75 +/- 0.05,0.31 +/- 0.06,0.08 +/- 0.01,0.10 +/- 0.02,0.13 +/- 0.03,339 +/- 16
2,1,56,2355 +/- 0,72.78 +/- 0.83,0.118 / 0.082,0.125*c + 0.541,0.085*c + 0.066,241.49,175.76,92.03,26.41,-,1.72 +/- 0.05,0.34 +/- 0.03,0.09 +/- 0.01,0.12 +/- 0.01,0.15 +/- 0.02,329 +/- 11
2,2,56,2355 +/- 0,78.22 +/- 0.33,0.116 / 0.084,0.130*c + 0.295,0.087*c + 0.065,241.49,188.90,93.98,28.38,-,1.78 +/- 0.04,0.27 +/- 0.05,0.07 +/- 0.01,0.09 +/- 0.01,0.11 +/- 0.04,350 +/- 12
3,-,112,2355 +/- 0,78.74 +/- 2.59,0.116 / 0.084,0.126*c + 0.366,0.085*c + 0.072,482.99,380.31,93.68,57.15,150,1.85 +/- 0.09,0.36 +/- 0.14,0.10 +/- 0.10,0.13 +/- 0.10,0.16 +/- 0.11,329 +/- 16
3,1,56,2355 +/- 0,76.62 +/- 1.91,0.116 / 0.083,0.124*c + 0.494,0.084*c + 0.062,241.49,185.03,92.86,27.80,-,1.91 +/- 0.06,0.34 +/- 0.03,0.08 +/- 0.01,0.12 +/- 0.01,0.15 +/- 0.01,322 +/- 14
3,2,56,2355 +/- 0,80.87 +/- 0.85,0.117 / 0.085,0.129*c + 0.239,0.086*c + 0.082,241.49,195.28,94.45,29.34,-,1.78 +/- 0.06,0.37 +/- 0.20,0.11 +/- 0.14,0.14 +/- 0.13,0.18 +/- 0.15,335 +/- 15
4,-,112,2355 +/- 0,76.07 +/- 2.47,0.117 / 0.085,0.126*c + 0.388,0.085*c + 0.061,482.99,367.43,93.29,55.21,150,1.68 +/- 0.18,0.32 +/- 0.07,0.09 +/- 0.07,0.11 +/- 0.04,0.14 +/- 0.05,340 +/- 23
4,1,56,2355 +/- 0,73.98 +/- 1.53,0.115 / 0.083,0.123*c + 0.498,0.085*c + 0.025,241.49,178.66,92.51,26.84,-,1.66 +/- 0.17,0.32 +/- 0.03,0.08 +/- 0.01,0.11 +/- 0.01,0.14 +/- 0.02,339 +/- 21
4,2,56,2355 +/- 0,78.17 +/- 1.00,0.118 / 0.087,0.128*c + 0.277,0.086*c + 0.097,241.49,188.77,94.02,28.37,-,1.70 +/- 0.19,0.32 +/- 0.10,0.09 +/- 0.10,0.11 +/- 0.05,0.14 +/- 0.07,340 +/- 25
5,-,112,2355 +/- 0,78.13 +/- 2.45,0.116 / 0.085,0.126*c + 0.349,0.086*c + 0.066,482.99,377.37,93.45,56.69,150,1.85 +/- 0.29,0.36 +/- 0.08,0.09 +/- 0.07,0.12 +/- 0.05,0.15 +/- 0.06,334 +/- 34
5,1,56,2355 +/- 0,76.04 +/- 1.58,0.117 / 0.084,0.124*c + 0.476,0.085*c + 0.040,241.49,183.62,92.69,27.59,-,1.86 +/- 0.28,0.36 +/- 0.04,0.08 +/- 0.01,0.12 +/- 0.02,0.15 +/- 0.02,333 +/- 31
5,2,56,2355 +/- 0,80.23 +/- 0.83,0.116 / 0.087,0.129*c + 0.222,0.086*c + 0.092,241.49,193.74,94.17,29.10,-,1.84 +/- 0.31,0.36 +/- 0.11,0.09 +/- 0.10,0.12 +/- 0.08,0.15 +/- 0.09,336 +/- 37
6,-,112,2355 +/- 0,78.73 +/- 1.63,0.116 / 0.084,0.127*c + 0.351,0.086*c + 0.087,482.99,380.24,93.50,57.12,150,1.87 +/- 0.22,0.36 +/- 0.12,0.10 +/- 0.09,0.14 +/- 0.14,0.17 +/- 0.12,339 +/- 27
6,1,56,2355 +/- 0,77.36 +/- 0.91,0.114 / 0.082,0.124*c + 0.482,0.084*c + 0.079,241.49,186.81,92.87,28.07,-,1.84 +/- 0.22,0.36 +/- 0.05,0.08 +/- 0.01,0.12 +/- 0.02,0.16 +/- 0.03,337 +/- 26
6,2,56,2355 +/- 0,80.10 +/- 0.86,0.117 / 0.085,0.129*c + 0.219,0.087*c + 0.094,241.49,193.43,94.10,29.06,-,1.91 +/- 0.21,0.36 +/- 0.16,0.11 +/- 0.13,0.16 +/- 0.20,0.18 +/- 0.17,342 +/- 29
7,-,112,2355 +/- 0,77.13 +/- 2.49,0.117 / 0.083,0.128*c + 0.387,0.086*c + 0.041,482.99,372.54,92.98,55.98,150,1.88 +/- 0.09,0.35 +/- 0.08,0.09 +/- 0.07,0.12 +/- 0.07,0.15 +/- 0.06,320 +/- 21
7,1,56,2355 +/- 0,74.82 +/- 1.05,0.117 / 0.081,0.126*c + 0.511,0.084*c + 0.026,241.49,180.70,92.10,27.15,-,1.88 +/- 0.09,0.37 +/- 0.03,0.09 +/- 0.01,0.12 +/- 0.01,0.16 +/- 0.02,315 +/- 18
7,2,56,2355 +/- 0,79.44 +/- 0.76,0.118 / 0.084,0.130*c + 0.264,0.087*c + 0.055,241.49,191.84,93.81,28.83,-,1.89 +/- 0.10,0.32 +/- 0.10,0.10 +/- 0.09,0.13 +/- 0.09,0.14 +/- 0.08,325 +/- 22
8,-,112,2355 +/- 0,82.56 +/- 1.50,0.110 / 0.073,0.129*c - 0.019,0.074*c - 0.120,482.99,398.74,94.58,59.90,150,4.00 +/- 0.28,0.36 +/- 0.10,0.10 +/- 0.09,0.14 +/- 0.10,0.17 +/- 0.10,124 +/- 8
8,1,56,2355 +/- 0,81.63 +/- 0.96,0.110 / 0.075,0.126*c + 0.146,0.074*c - 0.081,241.49,197.12,94.11,29.61,-,4.14 +/- 0.31,0.35 +/- 0.04,0.08 +/- 0.01,0.12 +/- 0.02,0.16 +/- 0.02,131 +/- 5
8,2,56,2355 +/- 0,83.49 +/- 1.35,0.110 / 0.072,0.131*c - 0.185,0.075*c - 0.158,241.49,201.61,95.03,30.29,-,3.86 +/- 0.15,0.37 +/- 0.14,0.12 +/- 0.12,0.15 +/- 0.14,0.18 +/- 0.13,118 +/- 6
Read 2 (I)
Lane,Surface,Tiles,Density,Cluster PF,Phas/Prephas,Phasing Equation,Prephas Equation,Reads,Reads PF,%>=Q30,Yield,Cycles Error,Aligned,Error,Error (35),Error (75),Error (100),Intensity C1
1,-,112,2355 +/- 0,74.00 +/- 3.48,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,357.41,94.41,2.50,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,557 +/- 31
1,1,56,2355 +/- 0,70.85 +/- 1.88,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,171.09,93.52,1.20,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,537 +/- 28
1,2,56,2355 +/- 0,77.15 +/- 0.86,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,186.32,95.22,1.31,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,577 +/- 18
2,-,112,2355 +/- 0,75.50 +/- 2.80,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,364.66,94.68,2.55,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,552 +/- 29
2,1,56,2355 +/- 0,72.78 +/- 0.83,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,175.76,94.28,1.23,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,532 +/- 21
2,2,56,2355 +/- 0,78.22 +/- 0.33,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,188.90,95.06,1.32,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,572 +/- 21
3,-,112,2355 +/- 0,78.74 +/- 2.59,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,380.31,95.03,2.66,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,514 +/- 26
