cluster_id,read_id,read_type
transcript/0,m64036e_210719_150424/76481260/ccs,FL
transcript/0,m64036e_210719_150424/145228246/ccs,FL
transcript/0,m64036e_210719_150424/29491840/ccs,FL
transcript/1,m64036e_210719_150424/156238078/ccs,FL
transcript/1,m64036e_210719_150424/121440819/ccs,FL
transcript/2,m64036e_210719_150424/165481210/ccs,FL
transcript/2,m64036e_210719_150424/28509517/ccs,FL
transcript/3,m64036e_210719_150424/62849559/ccs,FL
transcript/3,m64036e_210719_150424/134809277/ccs,FL
transcript/4,m64036e_210719_150424/154207684/ccs,FL
transcript/4,m64036e_210719_150424/130942782/ccs,FL
transcript/4,m64036e_210719_150424/330460/ccs,FL
transcript/5,m64036e_210719_150424/130810640/ccs,FL
transcript/5,m64036e_210719_150424/15074984/ccs,FL
transcript/5,m64036e_210719_150424/177014861/ccs,FL
transcript/5,m64036e_210719_150424/173147977/ccs,FL
transcript/6,m64036e_210719_150424/175702973/ccs,FL
transcript/6,m64036e_210719_150424/38603310/ccs,FL
transcript/7,m64036e_210719_150424/134023331/ccs,FL
transcript/7,m64036e_210719_150424/101452572/ccs,FL
