min_len: 35; max_len: 151; avg_len: 145.38; 6 distinct quality values
POS	#bases	%A	%C	%G	%T	%N	avgQ	errQ	%Q2	%Q14	%Q21	%Q27	%Q32	%Q36
ALL	1035546109	48.9	25.0	1.6	24.5	0.0	31.2	21.8	0.01	15.10	2.64	5.19	15.95	61.11
1	7122802	34.5	33.2	7.7	24.5	0.0	31.1	26.2	0.02	3.97	1.59	0.04	94.38	0.00
2	7122802	37.2	30.2	3.1	29.5	0.0	30.3	24.0	0.01	8.00	2.32	0.08	89.60	0.00
3	7122802	39.3	32.3	1.0	27.4	0.0	31.2	26.5	0.01	3.91	0.85	0.36	94.86	0.00
4	7122802	45.1	30.1	0.3	24.6	0.0	31.5	27.8	0.01	2.43	0.81	0.03	96.73	0.00
5	7122802	44.3	31.3	0.9	23.5	0.0	31.3	27.1	0.01	3.12	1.15	0.04	95.69	0.00
6	7122802	46.7	33.4	0.3	19.6	0.0	34.3	26.2	0.01	4.96	1.29	0.15	9.55	84.05
7	7122802	50.9	26.9	1.2	21.0	0.0	34.3	26.2	0.01	4.90	1.43	0.10	9.10	84.45
8	7122802	50.9	25.4	1.1	22.5	0.0	34.3	26.2	0.01	4.95	1.90	0.02	8.04	85.08
9	7122802	50.3	25.4	1.1	23.1	0.0	34.4	26.5	0.01	4.37	2.22	0.15	7.14	86.11
10	7122802	50.1	25.3	1.2	23.4	0.0	34.6	27.4	0.01	3.35	2.56	0.08	6.18	87.83
11	7122802	49.2	25.8	1.3	23.7	0.0	34.9	28.1	0.01	2.75	2.07	0.07	5.16	89.95
12	7122802	49.2	25.6	1.2	23.9	0.0	34.7	27.9	0.01	2.73	3.22	0.09	5.58	88.38
13	7122802	48.8	25.8	1.3	24.1	0.0	34.7	27.8	0.01	2.91	2.86	0.12	5.61	88.50
14	7122802	48.6	25.7	1.3	24.4	0.0	34.7	27.9	0.01	2.75	2.87	0.12	5.51	88.75
15	7122802	48.7	25.8	1.3	24.2	0.0	34.5	27.2	0.01	3.43	3.08	0.10	6.69	86.68
16	7122802	47.9	25.8	1.3	25.0	0.0	34.7	27.8	0.01	2.88	2.83	0.09	6.04	88.16
17	7122802	47.6	26.0	1.3	25.0	0.0	34.6	27.5	0.01	3.18	2.82	0.08	6.38	87.54
18	7122802	48.1	25.8	1.3	24.8	0.0	34.5	27.2	0.02	3.32	2.96	0.07	6.57	87.06
19	7122802	47.5	26.3	1.4	24.8	0.0	34.7	27.8	0.01	2.91	2.42	0.08	6.17	88.40
20	7122802	48.0	25.9	1.4	24.8	0.0	34.5	27.3	0.01	3.35	3.04	0.06	7.50	86.05
21	7122802	47.9	25.9	1.3	24.9	0.0	34.6	27.5	0.01	3.17	2.94	0.06	6.63	87.19
22	7122802	47.4	26.2	1.3	25.1	0.0	34.5	27.0	0.01	3.67	2.98	0.05	7.17	86.13
23	7122802	47.2	26.7	1.3	24.8	0.0	34.3	26.2	0.01	4.73	2.46	0.25	7.34	85.20
24	7122802	47.2	26.2	1.5	25.1	0.0	34.3	26.3	0.01	4.66	2.50	0.26	7.30	85.27
25	7122802	47.1	26.4	1.4	25.1	0.0	34.2	26.1	0.01	4.92	2.52	0.28	7.47	84.81
26	7122802	47.6	26.3	1.4	24.6	0.0	34.1	25.7	0.01	5.55	2.41	0.38	7.46	84.19
27	7122802	47.7	26.2	1.4	24.7	0.0	34.0	25.5	0.01	5.76	2.42	0.38	7.68	83.75
28	7122802	47.8	26.1	1.4	24.7	0.0	33.9	25.3	0.01	6.18	2.37	0.46	7.81	83.17
29	7122802	47.1	26.6	1.4	24.9	0.0	33.9	25.2	0.01	6.28	2.25	0.51	7.84	83.11
30	7122802	47.0	26.5	1.4	25.0	0.0	33.9	25.1	0.02	6.49	2.24	0.54	7.98	82.73
31	7122802	47.4	26.3	1.4	24.8	0.0	33.8	24.9	0.01	6.91	2.04	0.64	7.91	82.48
32	7122802	47.3	26.3	1.4	24.9	0.0	33.8	24.9	0.01	7.03	2.08	0.63	7.95	82.31
33	7122802	47.5	26.4	1.4	24.7	0.0	33.7	24.8	0.01	7.25	1.99	0.70	8.02	82.04
34	7122802	47.9	26.1	1.5	24.5	0.0	33.7	24.7	0.01	7.43	2.01	0.75	8.05	81.75
35	7122802	47.2	26.4	1.4	24.9	0.0	33.6	24.6	0.01	7.64	1.92	0.79	8.18	81.47
36	7122253	47.7	26.0	1.6	24.8	0.0	33.6	24.4	0.00	7.95	1.89	0.89	8.15	81.12
37	7122160	47.6	26.2	1.5	24.7	0.0	33.5	24.3	0.00	8.20	1.80	0.96	8.19	80.84
38	7122070	47.4	26.4	1.4	24.8	0.0	33.4	24.2	0.00	8.45	1.79	1.03	8.25	80.48
39	7121975	47.4	26.2	1.4	25.0	0.0	33.4	24.1	0.00	8.64	1.79	1.04	8.33	80.19
40	7121869	47.6	26.0	1.5	24.9	0.0	33.3	24.0	0.00	8.89	1.75	1.15	8.36	79.85
