Transcript Id	Gene Name	Read Location	Mate Location	Same Chromosome
		12:18051885-18051985	12:20098400	true
		12:20098400-20098500	12:18051885	true
		12:20925727-20925827	12:18911810	true
ENSMUST00000174530	Gm21989	12:21048493-21048593	12:18776526	true
ENSMUST00000164169	Mrto4-ps2	12:21761237-21784206	12:24074723	true
		12:21993035-21993891	12:24214270	true
		12:21996097-21996191	12:24217608	true
		12:24034685-24034785	12:21654976	true
ENSMUST00000101538	9030624G23Rik	12:24074723-24096906	12:21761237	true
		12:24214270-24214370	12:21993035	true
		12:24217608-24217704	12:21996097	true
		12:24380005-24380081	12:22379932	true
ENSMUST00000150529	Platr16	4:145449588-145449688	4:147583812	true
ENSMUST00000150529	Platr16	4:145449590-145449690	4:147583802	true
ENSMUST00000120870	Gm13230	4:145449799-145449896	4:147583819	true
ENSMUST00000120870	Gm13230	4:145450549-145450649	4:147514703	true
ENSMUST00000120870	Gm13230	4:145450584-145450655	4:147513074	true
ENSMUST00000105742	Gm13225	4:145537814-145537914	4:147584248	true
ENSMUST00000181752	C230088H06Rik	4:147451581-147451681	4:145411932	true
ENSMUST00000181752	C230088H06Rik	4:147453651-147538342	4:145412249	true
ENSMUST00000105721	Gm13152	4:147512702-147512773	4:145450478	true
ENSMUST00000105721	Gm13152	4:147512704-147512773	4:145450482	true
ENSMUST00000105721	Gm13152	4:147513054-147513154	4:145449970	true
ENSMUST00000105721	Gm13152	4:147513074-147513174	4:145450584	true
		4:147514275-147514372	4:145449852	true
		4:147514703-147514793	4:145450549	true
ENSMUST00000081742	Gm13154	4:147583802-147583902	4:145449590	true
ENSMUST00000081742	Gm13154	4:147583802-147583902	4:145537837	true
ENSMUST00000081742	Gm13154	4:147583812-147584164	4:145449588	true
ENSMUST00000081742	Gm13154	4:147583819-147583919	4:145449799	true
ENSMUST00000081742	Gm13154	4:147583826-147583925	4:145449655	true
ENSMUST00000081742	Gm13154	4:147584248-147584347	4:145537814	true
