Locus,Total_Depth,Average_Depth_sample,Depth_for_test
MT192765.1:1243,0,0.00,0
MT192765.1:1244,0,0.00,0
MT192765.1:1245,0,0.00,0
MT192765.1:1246,0,0.00,0
MT192765.1:1247,0,0.00,0
MT192765.1:1248,0,0.00,0
MT192765.1:1249,0,0.00,0
MT192765.1:1250,0,0.00,0
MT192765.1:1251,0,0.00,0
MT192765.1:1252,0,0.00,0
MT192765.1:1253,0,0.00,0
MT192765.1:1254,0,0.00,0
MT192765.1:1255,1,1.00,1
MT192765.1:1256,1,1.00,1
MT192765.1:1257,1,1.00,1
MT192765.1:1258,1,1.00,1
MT192765.1:1259,1,1.00,1
MT192765.1:1260,1,1.00,1
MT192765.1:1261,1,1.00,1
MT192765.1:1262,1,1.00,1
MT192765.1:1263,1,1.00,1
MT192765.1:1264,1,1.00,1
MT192765.1:1574,0,0.00,0
MT192765.1:1575,0,0.00,0
MT192765.1:1576,0,0.00,0
MT192765.1:1577,0,0.00,0
MT192765.1:1578,0,0.00,0
MT192765.1:1579,0,0.00,0
MT192765.1:1580,0,0.00,0
MT192765.1:1581,0,0.00,0
MT192765.1:1582,0,0.00,0
MT192765.1:1583,0,0.00,0
MT192765.1:1584,0,0.00,0
MT192765.1:1585,0,0.00,0
MT192765.1:1586,0,0.00,0
MT192765.1:1587,0,0.00,0
MT192765.1:1588,0,0.00,0
MT192765.1:1589,0,0.00,0
MT192765.1:1590,0,0.00,0
MT192765.1:1591,0,0.00,0
MT192765.1:1592,0,0.00,0
MT192765.1:1593,0,0.00,0
MT192765.1:1594,0,0.00,0
MT192765.1:1595,0,0.00,0
MT192765.1:1624,0,0.00,0
MT192765.1:1625,0,0.00,0
MT192765.1:1626,0,0.00,0
MT192765.1:1627,0,0.00,0
MT192765.1:1628,0,0.00,0
MT192765.1:1629,0,0.00,0
MT192765.1:1630,0,0.00,0
MT192765.1:1631,0,0.00,0
MT192765.1:1632,0,0.00,0
MT192765.1:1633,0,0.00,0
MT192765.1:1634,0,0.00,0
MT192765.1:1635,0,0.00,0
MT192765.1:1636,0,0.00,0
MT192765.1:1637,0,0.00,0
MT192765.1:1638,0,0.00,0
MT192765.1:1639,0,0.00,0
MT192765.1:1640,0,0.00,0
MT192765.1:1641,0,0.00,0
MT192765.1:1642,0,0.00,0
MT192765.1:1643,0,0.00,0
MT192765.1:1644,0,0.00,0
MT192765.1:1645,0,0.00,0
MT192765.1:1646,0,0.00,0
MT192765.1:1647,0,0.00,0
MT192765.1:1648,0,0.00,0
MT192765.1:1649,0,0.00,0
MT192765.1:1650,0,0.00,0
MT192765.1:1651,0,0.00,0
MT192765.1:1943,0,0.00,0
MT192765.1:1944,0,0.00,0
MT192765.1:1945,0,0.00,0
MT192765.1:1946,0,0.00,0
MT192765.1:1947,0,0.00,0
MT192765.1:1948,0,0.00,0
MT192765.1:1949,0,0.00,0
MT192765.1:1950,0,0.00,0
MT192765.1:1951,0,0.00,0
MT192765.1:1952,0,0.00,0
MT192765.1:1953,0,0.00,0
MT192765.1:1954,0,0.00,0
MT192765.1:1955,0,0.00,0
MT192765.1:1956,0,0.00,0
MT192765.1:1957,0,0.00,0
MT192765.1:1958,0,0.00,0
MT192765.1:1959,0,0.00,0
MT192765.1:1960,0,0.00,0
MT192765.1:1961,0,0.00,0
MT192765.1:1962,0,0.00,0
MT192765.1:1963,0,0.00,0
MT192765.1:1964,0,0.00,0
