# HOMER Peaks
# Peak finding parameters:
# tag directory = /hpcdata/sg/sg_data/illumina_hiseq_processed/170407_D00638_0265_AC82GUACXX/piperun_full/anals_output/Data/homerpre/Project_ATACseq/Sample_A01
#
# total peaks = 39675
# peak size = 1000
# peaks found using tags on both strands
# minimum distance between peaks = 2500
# fragment length = 202
# genome size = 2000000000
# Total tags = 16333084.5
# Total tags in peaks = 4735920.5
# Approximate IP efficiency = 29.00%
# tags per bp = 0.007487
# expected tags per peak = 7.487
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# FDR rate threshold = 0.100000000
# FDR effective poisson threshold = 7.749239e-04
# FDR tag threshold = 18.0
# number of putative peaks = 53169
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 13493
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = /hpcdata/sg/sg_data/users/narayananm/tools/homer/bin/findPeaks /hpcdata/sg/sg_data/illumina_hiseq_processed/170407_D00638_0265_AC82GUACXX/piperun_full/anals_output/Data/homerpre/Project_ATACseq/Sample_A01 -size 1000 -minDist 2500 -fdr 0.10 -o /hpcdata/sg/sg_data/illumina_hiseq_processed/170407_D00638_0265_AC82GUACXX/piperun_full/anals_output/Data/homer/Project_ATACseq/Sample_A01/A01.peaks1kb.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	Not used	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr3-11	chr3	93470076	93471076	+	1355.2	0.000	460.500000	39843.00	0.00e+00	1.93
chr19-1	chr19	42268266	42269266	+	1035.6	0.000	673.500000	65.62	0.00e+00	1.22
chr19-3	chr19	5903930	5904930	+	1016.3	0.000	632.000000	109.05	0.00e+00	1.29
chr2-1	chr2	64750705	64751705	+	996.7	0.000	643.500000	147.26	0.00e+00	1.25
chr5-1	chr5	151771223	151772223	+	987.6	0.000	651.500000	91.59	0.00e+00	1.24
chr11-1	chr11	59615624	59616624	+	980.8	0.000	671.000000	169.62	0.00e+00	1.19
chr19-7	chr19	38849857	38850857	+	938.3	0.000	587.000000	45.37	0.00e+00	1.34
chr19-2	chr19	54189822	54190822	+	901.2	0.000	673.500000	15.67	0.00e+00	1.15
chr19-10	chr19	54136888	54137888	+	888.4	0.000	551.500000	185.23	0.00e+00	1.39
chr12-2	chr12	55973260	55974260	+	882.3	0.000	561.500000	121.21	0.00e+00	1.36
chr12-1	chr12	53379462	53380462	+	881.3	0.000	623.000000	37.61	0.00e+00	1.24
chr16-2	chr16	22190500	22191500	+	877.1	0.000	585.500000	32.93	0.00e+00	1.30
chr19-4	chr19	55338995	55339995	+	870.3	0.000	609.000000	63.02	0.00e+00	1.27
chr3-1	chr3	115147120	115148120	+	869.1	0.000	636.500000	83.77	0.00e+00	1.20
chr8-1	chr8	102238616	102239616	+	868.2	0.000	606.000000	74.41	0.00e+00	1.25
chr19-6	chr19	6424678	6425678	+	860.2	0.000	593.500000	179.36	0.00e+00	1.27
chr10-1	chr10	74825978	74826978	+	852.3	0.000	567.500000	66.29	0.00e+00	1.34
chr19-5	chr19	12789640	12790640	+	822.9	0.000	597.000000	5.57	0.00e+00	1.25
chr14-1	chr14	105490557	105491557	+	806.6	0.000	555.000000	20.23	0.00e+00	1.33
chr3-2	chr3	120094349	120095349	+	801.4	0.000	625.500000	26.27	0.00e+00	1.17
chr16-1	chr16	30657927	30658927	+	798.7	0.000	621.500000	38.94	0.00e+00	1.18
chr8-2	chr8	25458223	25459223	+	784.9	0.000	516.500000	149.84	0.00e+00	1.41
chr16-4	chr16	30370380	30371380	+	781.5	0.000	544.000000	81.48	0.00e+00	1.33
chr2-3	chr2	69914351	69915351	+	777.0	0.000	562.500000	84.60	0.00e+00	1.29
chr19-9	chr19	44890363	44891363	+	765.6	0.000	558.500000	150.06	0.00e+00	1.29
chr2-2	chr2	88627294	88628294	+	754.6	0.000	592.500000	85.33	0.00e+00	1.21
chr19-8	chr19	45177983	45178983	+	750.0	0.000	560.500000	109.16	0.00e+00	1.27
chr7-4	chr7	100585914	100586914	+	740.2	0.000	494.000000	30.61	0.00e+00	1.42
chr3-5	chr3	125915764	125916764	+	730.4	0.000	534.000000	135.06	0.00e+00	1.32
chr22-1	chr22	38705168	38706168	+	730.1	0.000	481.500000	31.85	0.00e+00	1.46
chr19-12	chr19	49766135	49767135	+	727.1	0.000	512.500000	146.40	0.00e+00	1.36
chr3-7	chr3	38164711	38165711	+	722.2	0.000	493.000000	141.54	0.00e+00	1.41
chr3-3	chr3	33440171	33441171	+	706.5	0.000	556.000000	60.03	0.00e+00	1.24
chr1-2	chr1	110338450	110339450	+	704.1	0.000	542.000000	41.73	0.00e+00	1.28
chr17-2	chr17	58517636	58518636	+	696.7	0.000	486.500000	52.12	0.00e+00	1.43
chr2-5	chr2	207529381	207530381	+	692.5	0.000	538.500000	64.22	0.00e+00	1.28
chr15-1	chr15	75451457	75452457	+	691.8	0.000	531.500000	7.73	0.00e+00	1.29
chr1-1	chr1	6784539	6785539	+	689.1	0.000	549.500000	103.36	0.00e+00	1.24
chr5-2	chr5	109409693	109410693	+	684.2	0.000	526.000000	61.70	0.00e+00	1.28
chr19-14	chr19	4471392	4472392	+	680.8	0.000	477.500000	158.86	0.00e+00	1.41
chr1-3	chr1	172532406	172533406	+	679.0	0.000	537.000000	46.97	0.00e+00	1.26
chr12-4	chr12	50111528	50112528	+	677.2	0.000	477.000000	123.65	0.00e+00	1.44
chr3-6	chr3	36992816	36993816	+	676.8	0.000	495.500000	108.74	0.00e+00	1.36
chr17-3	chr17	59154943	59155943	+	673.5	0.000	484.500000	169.23	0.00e+00	1.38
chr19-16	chr19	10717275	10718275	+	672.6	0.000	473.500000	125.15	0.00e+00	1.41
chr2-4	chr2	44168005	44169005	+	668.6	0.000	552.500000	67.78	0.00e+00	1.21
chr7-6	chr7	107168203	107169203	+	659.7	0.000	470.500000	17.91	0.00e+00	1.42
chr1-4	chr1	207320916	207321916	+	656.9	0.000	535.500000	40.83	0.00e+00	1.23
chr14-5	chr14	50038345	50039345	+	654.2	0.000	471.000000	62.65	0.00e+00	1.40
chr11-2	chr11	64185376	64186376	+	646.2	0.000	494.000000	67.37	0.00e+00	1.33
chr19-38	chr19	38899291	38900291	+	643.5	0.000	428.000000	151.34	0.00e+00	1.53
chr5-3	chr5	140401055	140402055	+	642.3	0.000	490.500000	57.05	0.00e+00	1.37
chr1-8	chr1	85276131	85277131	+	641.6	0.000	484.500000	52.40	0.00e+00	1.35
