Feature_ID	chrom	end	start	n_cells_by_counts	mean_counts	log1p_mean_counts	pct_dropout_by_counts	total_counts	log1p_total_counts
chr1_124050000_124100000::	chr1	124100000::	124050000	47	0.045572918	0.04456498	96.94010416666666	70.0	4.26268
chr1_124100000_124150000::	chr1	124150000::	124100000	33	0.026692709	0.026342673	97.8515625	41.0	3.7376697
chr1_124150000_124200000::	chr1	124200000::	124150000	26	0.020182291	0.019981328	98.30729166666666	31.0	3.465736
chr1_124200000_124250000::	chr1	124250000::	124200000	38	0.024739584	0.024438515	97.52604166666666	38.0	3.6635616
chr1_124250000_124300000::	chr1	124300000::	124250000	29	0.021484375	0.02125684	98.11197916666666	33.0	3.5263605
chr1_124300000_124350000::	chr1	124350000::	124300000	39	0.032552082	0.03203349	97.4609375	50.0	3.9318256
chr1_124350000_124400000::	chr1	124400000::	124350000	49	0.048828125	0.047673468	96.80989583333334	75.0	4.3307333
chr1_124400000_124450000::	chr1	124450000::	124400000	22	0.015625	0.015504187	98.56770833333334	24.0	3.218876
chr1_124450000_124500000::	chr1	124500000::	124450000	39	0.030598959	0.030140147	97.4609375	47.0	3.871201
chr1_124500000_124550000::	chr1	124550000::	124500000	45	0.032552082	0.03203349	97.0703125	50.0	3.9318256
chr1_124550000_124600000::	chr1	124600000::	124550000	41	0.02734375	0.026976587	97.33072916666666	42.0	3.7612002
chr1_124600000_124650000::	chr1	124650000::	124600000	31	0.024739584	0.024438515	97.98177083333334	38.0	3.6635616
chr1_124650000_124700000::	chr1	124700000::	124650000	54	0.037760418	0.037064947	96.484375	58.0	4.0775375
chr1_124700000_124750000::	chr1	124750000::	124700000	46	0.034505207	0.03392325	97.00520833333334	53.0	3.988984
chr1_124750000_124800000::	chr1	124800000::	124750000	42	0.03125	0.030771658	97.265625	48.0	3.8918204
chr1_124800000_124850000::	chr1	124850000::	124800000	43	0.033203125	0.032663807	97.20052083333334	51.0	3.9512436
chr1_124850000_124900000::	chr1	124900000::	124850000	41	0.03125	0.030771658	97.33072916666666	48.0	3.8918204
chr1_124900000_124950000::	chr1	124950000::	124900000	45	0.034505207	0.03392325	97.0703125	53.0	3.988984
