## htsjdk.samtools.metrics.StringHeader
# CollectMultipleMetrics INPUT=path/to/sample.bam OUTPUT=path/to/sample FILE_EXTENSION=.txt PROGRAM=[CollectAlignmentSummaryMetrics, CollectBaseDistributionByCycle, CollectInsertSizeMetrics, MeanQualityByCycle, QualityScoreDistribution, CollectGcBiasMetrics, CollectSequencingArtifactMetrics, CollectQualityYieldMetrics] 
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 03 10:14:32 MST 2020


## HISTOGRAM	java.lang.Integer
CYCLE	MEAN_QUALITY
1	70.12345
2	70.12345
3	70.12345
4	70.12345
5	70.12345
6	70.12345
7	70.12345
8	70.12345
9	70.12345
10	70.12345
11	70.12345
12	70.12345
13	70.12345
14	70.12345
15	70.12345
16	70.12345
17	70.12345
18	70.12345
19	70.12345
20	70.12345
21	70.12345
22	70.12345
23	70.12345
24	70.12345
25	70.12345
26	70.12345
27	70.12345
28	70.12345
29	70.12345
30	70.12345
31	70.12345
32	70.12345
33	70.12345
34	70.12345
35	70.12345
36	70.12345
37	70.12345
38	70.12345
39	70.12345
40	70.12345
41	70.12345
42	70.12345
43	70.12345
44	70.12345
45	70.12345
46	70.12345
47	70.12345
48	70.12345
49	70.12345
50	70.12345
51	70.12345
52	70.12345
53	70.12345
54	70.12345
55	60.12345
56	60.12345
57	60.12345
58	60.12345
59	60.12345
60	60.12345
61	60.12345
62	60.12345
63	60.12345
64	60.12345
65	60.12345
66	60.12345
67	60.12345
68	60.12345
69	60.12345
70	60.12345
71	60.12345
72	60.12345
73	60.12345
74	60.12345
75	60.12345
76	60.12345
77	60.12345
78	60.12345
79	60.12345
80	60.12345
81	60.12345
82	60.12345
83	60.12345
84	60.12345
85	60.12345
86	60.12345
87	60.12345
88	60.12345
89	60.12345
90	60.12345
91	60.12345
92	60.12345
93	60.12345
94	60.12345
95	60.12345
96	60.12345
97	60.12345
98	60.12345
99	60.12345
100	60.12345

