total_counts	n_genes_by_counts	cellrank_total_counts	cellrank_n_genes_by_counts	cell_index
8875.0	2413	1	1	1
6722.0	2023	9	2	2
8415.0	2013	2	3	3
8011.0	1996	3	4	4
7928.0	1991	4	5	5
6908.0	1974	8	6	6
5981.0	1954	22	7	7
7167.0	1934	5	8	8
6280.0	1906	15	9	9
6316.0	1902	14	10	10
7064.0	1871	6	11	11
5343.0	1868	42	12	12
6580.0	1859	11	13	13
6083.0	1852	21	14	14
7062.0	1852	7	15	15
6329.0	1815	13	16	16
6342.0	1792	12	17	17
6164.0	1782	18	18	18
5416.0	1777	40	19	19
6691.0	1750	10	20	20
6191.0	1749	16	21	21
5867.0	1741	24	22	22
5850.0	1739	25	23	23
6153.0	1713	19	24	24
5212.0	1703	50	25	25
5326.0	1690	43	26	26
5162.0	1687	56	27	27
5552.0	1674	32	28	28
4211.0	1667	132	29	29
5677.0	1662	27	30	30
5344.0	1659	41	31	31
5187.0	1650	55	32	32
5682.0	1649	26	33	33
5496.0	1647	35	34	34
5155.0	1646	57	35	35
6097.0	1643	20	36	36
5189.0	1634	54	37	37
5489.0	1631	36	38	38
5637.0	1627	30	39	39
5924.0	1625	23	40	40
5515.0	1621	34	41	41
5286.0	1618	45	42	42
4295.0	1610	124	43	43
5280.0	1606	47	44	44
5149.0	1605	58	45	45
5030.0	1602	64	46	46
3924.0	1589	188	47	47
5303.0	1584	44	48	48
5281.0	1582	46	49	49
6175.0	1571	17	50	50
5201.0	1569	51	51	51
5599.0	1566	31	52	52
5671.0	1560	29	53	53
4779.0	1558	79	54	54
5486.0	1557	37	55	55
4319.0	1554	122	56	56
4854.0	1551	75	57	57
5197.0	1550	52	58	58
5049.0	1548	63	59	59
5534.0	1546	33	60	60
5135.0	1546	61	61	61
4929.0	1546	68	62	62
5676.0	1541	28	63	63
4455.0	1539	106	64	64
4888.0	1528	74	65	65
5102.0	1526	62	66	66
4752.0	1521	84	67	67
4760.0	1520	81	68	68
4888.0	1519	73	69	69
4913.0	1517	70	70	70
4790.0	1515	78	71	71
5144.0	1512	59	72	72
5193.0	1509	53	73	73
4600.0	1507	93	74	74
4972.0	1502	66	75	75
4454.0	1498	108	76	76
4971.0	1496	67	77	77
4469.0	1496	104	78	78
4438.0	1494	110	79	79
4754.0	1489	83	80	80
4824.0	1481	76	81	81
4907.0	1479	71	82	82
4572.0	1477	97	83	83
4431.0	1472	113	84	84
4744.0	1467	85	85	85
4560.0	1466	98	86	86
4688.0	1464	88	87	87
4502.0	1463	102	88	88
4617.0	1461	92	89	89
4660.0	1460	89	90	90
4711.0	1458	86	91	91
3544.0	1457	266	92	92
4597.0	1455	94	93	93
4409.0	1446	117	94	94
4633.0	1445	90	95	95
4973.0	1445	65	96	96
4070.0	1434	166	97	97
4211.0	1433	133	98	98
3487.0	1426	283	99	99
4442.0	1426	109	100	100
4455.0	1425	107	101	101
5484.0	1425	38	102	102
4587.0	1425	95	103	103
5226.0	1422	48	104	104
4584.0	1422	96	105	105
4337.0	1418	120	106	106
4175.0	1416	142	107	107
4629.0	1416	91	108	108
5437.0	1414	39	109	109
4696.0	1412	87	110	110
3225.0	1410	389	111	111
4035.0	1408	174	112	112
4517.0	1407	100	113	113
4921.0	1399	69	114	114
4145.0	1396	147	115	115
4414.0	1396	114	116	116
4811.0	1393	77	117	117
4201.0	1390	135	118	118
4394.0	1389	118	119	119
4043.0	1386	172	120	120
4217.0	1383	131	121	121
4177.0	1383	140	122	122
3717.0	1378	226	123	123
4754.0	1378	82	124	124
5218.0	1377	49	125	125
3965.0	1375	183	126	126
4144.0	1374	149	127	127
4063.0	1374	167	128	128
4164.0	1371	143	129	129
4128.0	1368	155	130	130
4108.0	1368	157	131	131
4436.0	1362	111	132	132
4023.0	1361	175	133	133
3911.0	1357	193	134	134
4346.0	1357	119	135	135
4903.0	1352	72	136	136
4080.0	1351	161	137	137
3960.0	1342	186	138	138
4006.0	1341	178	139	139
3898.0	1339	196	140	140
5139.0	1338	60	141	141
4164.0	1334	145	142	142
4079.0	1332	162	143	143
4471.0	1331	103	144	144
4175.0	1325	141	145	145
3805.0	1324	211	146	146
4229.0	1324	130	147	147
4766.0	1323	80	148	148
3608.0	1323	254	149	149
4464.0	1322	105	150	150
3842.0	1321	203	151	151
3914.0	1321	191	152	152
4521.0	1321	99	153	153
4088.0	1320	159	154	154
4410.0	1320	115	155	155
4272.0	1317	126	156	156
4076.0	1316	163	157	157
4094.0	1313	158	158	158
4510.0	1313	101	159	159
4410.0	1310	116	160	160
4144.0	1310	148	161	161
4142.0	1305	151	162	162
3498.0	1305	276	163	163
4056.0	1303	170	164	164
3624.0	1302	248	165	165
4058.0	1298	169	166	166
3970.0	1295	181	167	167
4135.0	1290	153	168	168
4119.0	1290	156	169	169
3383.0	1289	315	170	170
3870.0	1289	199	171	171
4081.0	1286	160	172	172
4200.0	1285	136	173	173
3898.0	1283	197	174	174
4209.0	1280	134	175	175
3754.0	1277	219	176	176
3869.0	1275	200	177	177
4199.0	1273	137	178	178
4148.0	1273	146	179	179
3771.0	1272	216	180	180
3725.0	1269	225	181	181
4198.0	1267	138	182	182
4432.0	1266	112	183	183
3404.0	1266	308	184	184
3097.0	1265	450	185	185
3900.0	1264	194	186	186
3753.0	1264	220	187	187
3651.0	1264	238	188	188
3967.0	1262	182	189	189
4328.0	1262	121	190	190
3781.0	1262	212	191	191
3624.0	1258	249	192	192
4058.0	1256	168	193	193
4143.0	1255	150	194	194
3438.0	1253	298	195	195
4314.0	1252	123	196	196
3826.0	1251	207	197	197
3699.0	1249	229	198	198
3840.0	1249	204	199	199
4073.0	1248	165	200	200
3332.0	1245	333	201	201
3487.0	1241	282	202	202
3832.0	1241	206	203	203
3994.0	1240	179	204	204
3764.0	1240	218	205	205
4164.0	1237	144	206	206
3390.0	1237	312	207	207
3493.0	1237	280	208	208
4271.0	1236	127	209	209
3183.0	1231	408	210	210
2764.0	1230	667	211	211
3555.0	1230	263	212	212
3553.0	1228	264	213	213
3851.0	1227	202	214	214
3097.0	1226	451	215	215
3323.0	1226	337	216	216
3443.0	1224	296	217	217
3764.0	1223	217	218	218
3562.0	1222	259	219	219
4254.0	1221	128	220	220
3559.0	1220	260	221	221
3439.0	1218	297	222	222
3776.0	1218	214	223	223
3464.0	1216	290	224	224
3874.0	1215	198	225	225
3569.0	1213	258	226	226
3264.0	1213	363	227	227
3734.0	1212	223	228	228
3650.0	1211	239	229	229
3962.0	1210	185	230	230
3773.0	1209	215	231	231
3409.0	1208	307	232	232
