n_genes_by_counts	total_counts	cellrank_n_genes_by_counts	cellrank_total_counts	cell_index
9011	4566.389	32	1	1
10939	4521.7637	5	2	2
8776	4472.3086	38	3	3
9550	4467.177	20	4	4
9722	4460.6772	18	5	5
8130	4418.3525	85	6	6
7579	4409.6436	138	7	7
8474	4409.5215	53	8	8
8595	4405.107	46	9	9
8523	4381.2764	51	10	10
7856	4379.566	100	11	11
4955	4346.208	1630	12	12
7753	4343.559	110	13	13
8246	4343.225	72	14	14
7366	4342.8994	168	15	15
6977	4340.475	252	16	16
8367	4321.83	61	17	17
10813	4318.3306	7	18	18
7328	4304.1353	175	19	19
7131	4296.619	221	20	20
7148	4295.571	216	21	21
8220	4290.6094	78	22	22
8112	4290.1367	86	23	23
7871	4288.932	98	24	24
9502	4287.802	21	25	25
10662	4277.0796	10	26	26
5929	4274.32	666	27	27
6956	4264.9326	261	28	28
7060	4264.105	235	29	29
7387	4257.096	163	30	30
5864	4257.0825	710	31	31
6489	4257.025	386	32	32
7972	4243.018	94	33	33
8978	4240.7363	33	34	34
7927	4239.644	95	35	35
9436	4238.3506	22	36	36
11538	4237.708	2	37	37
6970	4237.5513	255	38	38
6085	4234.545	568	39	39
6392	4232.372	432	40	40
10514	4227.2847	11	41	41
6609	4221.319	342	42	42
7185	4221.014	205	43	43
6955	4220.895	262	44	44
9358	4220.5146	25	45	45
7723	4218.8667	118	46	46
7156	4217.016	214	47	47
7574	4213.5933	140	48	48
8918	4211.779	36	49	49
6415	4204.238	418	50	50
8333	4203.8423	63	51	51
6733	4201.924	308	52	52
7055	4201.126	237	53	53
9395	4193.5747	23	54	54
7215	4191.7603	197	55	55
7054	4183.999	238	56	56
8149	4182.8115	83	57	57
6831	4177.661	292	58	58
7645	4175.0	128	59	59
6886	4173.667	280	60	60
7069	4170.735	233	61	61
5992	4168.4824	622	62	62
9773	4167.37	16	63	63
7871	4166.2563	99	64	64
7512	4165.0225	146	65	65
5737	4162.5986	797	66	66
7375	4158.172	165	67	67
5632	4157.416	877	68	68
6046	4152.0825	592	69	69
6250	4150.671	505	70	70
7289	4147.45	179	71	71
7136	4144.086	218	72	72
6285	4140.4673	484	73	73
6618	4139.2256	340	74	74
6538	4138.896	368	75	75
6146	4135.524	547	76	76
7119	4132.771	222	77	77
8430	4131.7954	56	78	78
5926	4122.2163	667	79	79
6410	4121.5073	421	80	80
7917	4121.151	96	81	81
11210	4119.0464	3	82	82
8318	4117.914	66	83	83
8223	4115.084	77	84	84
9148	4114.545	28	85	85
6986	4111.9517	249	86	86
5922	4110.2847	672	87	87
