# Version: v1.0.16-src
sample_run_id
Level,Yield,Projected Yield,Aligned,Error Rate,Intensity C1,%>=Q30
Read 1,437.80,437.80,1.03,0.33,334,94.15
Read 2 (I),20.84,20.84,0.00,nan,643,94.86
Read 3 (I),20.40,20.40,0.00,nan,646,79.75
Read 4,437.72,437.72,1.00,0.71,326,86.64
Non-indexed,875.52,875.52,1.01,0.52,330,90.40
Total,916.77,916.77,1.01,0.52,487,90.26


Read 1
Lane,Surface,Tiles,Density,Cluster PF,Phas/Prephas,Phasing Equation,Prephas Equation,Reads,Reads PF,%>=Q30,Yield,Cycles Error,Aligned,Error,Error (35),Error (75),Error (100),Intensity C1
1,-,112,2355 +/- 0,76.69 +/- 2.37,0.123 / 0.068,0.128*c + 0.653,0.068*c + 0.186,482.99,370.41,94.30,54.54,147,0.88 +/- 0.08,0.33 +/- 0.09,0.08 +/- 0.03,0.12 +/- 0.05,0.15 +/- 0.05,386 +/- 42
1,1,56,2355 +/- 0,75.38 +/- 2.57,0.122 / 0.065,0.127*c + 0.733,0.068*c + 0.159,241.49,182.04,93.58,26.81,-,0.91 +/- 0.04,0.35 +/- 0.07,0.08 +/- 0.01,0.12 +/- 0.02,0.15 +/- 0.02,354 +/- 24
1,2,56,2355 +/- 0,78.00 +/- 1.12,0.124 / 0.070,0.130*c + 0.572,0.069*c + 0.212,241.49,188.37,94.99,27.73,-,0.85 +/- 0.09,0.32 +/- 0.11,0.08 +/- 0.05,0.11 +/- 0.06,0.14 +/- 0.07,418 +/- 29
2,-,112,2355 +/- 0,73.96 +/- 1.74,0.123 / 0.070,0.128*c + 0.599,0.071*c + 0.199,482.99,357.20,93.88,52.60,147,0.81 +/- 0.03,0.33 +/- 0.10,0.12 +/- 0.15,0.13 +/- 0.11,0.16 +/- 0.09,419 +/- 31
2,1,56,2355 +/- 0,72.60 +/- 1.34,0.122 / 0.068,0.126*c + 0.689,0.070*c + 0.174,241.49,175.33,93.34,25.82,-,0.83 +/- 0.02,0.33 +/- 0.05,0.09 +/- 0.01,0.12 +/- 0.02,0.15 +/- 0.03,390 +/- 10
2,2,56,2355 +/- 0,75.31 +/- 0.78,0.123 / 0.073,0.130*c + 0.509,0.071*c + 0.223,241.49,181.88,94.41,26.78,-,0.79 +/- 0.02,0.33 +/- 0.13,0.15 +/- 0.21,0.15 +/- 0.16,0.17 +/- 0.13,449 +/- 10
3,-,112,2355 +/- 0,78.26 +/- 1.14,0.121 / 0.071,0.127*c + 0.540,0.072*c + 0.141,482.99,377.98,94.66,55.65,147,0.85 +/- 0.03,0.33 +/- 0.14,0.11 +/- 0.18,0.12 +/- 0.13,0.16 +/- 0.13,385 +/- 28
3,1,56,2355 +/- 0,77.63 +/- 1.00,0.120 / 0.069,0.125*c + 0.617,0.071*c + 0.108,241.49,187.46,94.34,27.60,-,0.87 +/- 0.02,0.32 +/- 0.04,0.08 +/- 0.01,0.11 +/- 0.02,0.14 +/- 0.03,364 +/- 19
3,2,56,2355 +/- 0,78.89 +/- 0.90,0.121 / 0.074,0.129*c + 0.463,0.073*c + 0.175,241.49,190.51,94.97,28.05,-,0.83 +/- 0.03,0.34 +/- 0.19,0.13 +/- 0.25,0.14 +/- 0.19,0.18 +/- 0.18,407 +/- 18
4,-,112,2355 +/- 0,76.56 +/- 1.26,0.122 / 0.072,0.126*c + 0.582,0.069*c + 0.215,482.99,369.79,94.53,54.45,147,0.80 +/- 0.07,0.33 +/- 0.11,0.10 +/- 0.10,0.13 +/- 0.10,0.17 +/- 0.11,417 +/- 29
4,1,56,2355 +/- 0,76.02 +/- 1.05,0.120 / 0.069,0.124*c + 0.662,0.069*c + 0.176,241.49,183.59,94.24,27.03,-,0.83 +/- 0.05,0.31 +/- 0.04,0.08 +/- 0.01,0.11 +/- 0.02,0.14 +/- 0.02,396 +/- 19
4,2,56,2355 +/- 0,77.10 +/- 1.23,0.124 / 0.074,0.128*c + 0.502,0.070*c + 0.253,241.49,186.20,94.82,27.42,-,0.77 +/- 0.07,0.35 +/- 0.14,0.11 +/- 0.14,0.16 +/- 0.13,0.20 +/- 0.15,438 +/- 21
5,-,112,2355 +/- 0,75.38 +/- 0.98,0.121 / 0.070,0.126*c + 0.560,0.070*c + 0.183,482.99,364.06,94.31,53.60,146 - 147,0.67 +/- 0.06,0.35 +/- 0.16,0.09 +/- 0.07,0.13 +/- 0.09,0.17 +/- 0.13,426 +/- 27
5,1,56,2355 +/- 0,75.09 +/- 1.05,0.121 / 0.070,0.124*c + 0.672,0.069*c + 0.167,241.49,181.35,94.15,26.70,-,0.69 +/- 0.04,0.32 +/- 0.05,0.09 +/- 0.01,0.11 +/- 0.02,0.14 +/- 0.03,409 +/- 20
5,2,56,2355 +/- 0,75.66 +/- 0.83,0.121 / 0.071,0.128*c + 0.448,0.071*c + 0.200,241.49,182.71,94.47,26.90,-,0.65 +/- 0.07,0.38 +/- 0.22,0.09 +/- 0.10,0.14 +/- 0.13,0.20 +/- 0.18,444 +/- 22
6,-,112,2355 +/- 0,79.76 +/- 0.77,0.121 / 0.069,0.122*c + 0.699,0.069*c + 0.127,482.99,385.24,93.93,56.73,147,1.38 +/- 0.03,0.32 +/- 0.10,0.09 +/- 0.05,0.12 +/- 0.05,0.15 +/- 0.05,213 +/- 12
6,1,56,2355 +/- 0,79.49 +/- 0.81,0.120 / 0.067,0.119*c + 0.826,0.068*c + 0.124,241.49,191.96,93.43,28.26,-,1.39 +/- 0.03,0.34 +/- 0.06,0.08 +/- 0.01,0.13 +/- 0.03,0.17 +/- 0.04,204 +/- 6
6,2,56,2355 +/- 0,80.04 +/- 0.63,0.122 / 0.070,0.125*c + 0.572,0.069*c + 0.130,241.49,193.28,94.43,28.46,-,1.36 +/- 0.02,0.31 +/- 0.12,0.09 +/- 0.07,0.11 +/- 0.06,0.14 +/- 0.05,222 +/- 8
7,-,112,2355 +/- 0,79.17 +/- 3.05,0.124 / 0.073,0.122*c + 0.719,0.071*c + 0.132,482.99,382.38,93.63,56.30,147,1.40 +/- 0.05,0.35 +/- 0.14,0.10 +/- 0.08,0.13 +/- 0.08,0.17 +/- 0.12,204 +/- 18
7,1,56,2355 +/- 0,77.73 +/- 3.49,0.122 / 0.070,0.119*c + 0.852,0.070*c + 0.115,241.49,187.71,93.00,27.64,-,1.43 +/- 0.04,0.35 +/- 0.08,0.09 +/- 0.01,0.13 +/- 0.03,0.17 +/- 0.05,194 +/- 12
7,2,56,2355 +/- 0,80.61 +/- 1.55,0.126 / 0.076,0.125*c + 0.586,0.072*c + 0.149,241.49,194.67,94.23,28.66,-,1.37 +/- 0.02,0.34 +/- 0.18,0.10 +/- 0.11,0.13 +/- 0.10,0.17 +/- 0.16,215 +/- 17
8,-,112,2355 +/- 0,75.86 +/- 1.63,0.127 / 0.067,0.123*c + 0.804,0.066*c + 0.142,482.99,366.41,93.98,53.95,147,1.43 +/- 0.05,0.29 +/- 0.09,0.10 +/- 0.08,0.12 +/- 0.06,0.15 +/- 0.08,224 +/- 13
8,1,56,2355 +/- 0,74.88 +/- 1.72,0.126 / 0.067,0.119*c + 0.917,0.066*c + 0.124,241.49,180.84,93.59,26.62,-,1.47 +/- 0.04,0.28 +/- 0.04,0.08 +/- 0.01,0.12 +/- 0.02,0.14 +/- 0.03,216 +/- 9
8,2,56,2355 +/- 0,76.84 +/- 0.66,0.129 / 0.068,0.127*c + 0.690,0.067*c + 0.160,241.49,185.57,94.36,27.33,-,1.40 +/- 0.03,0.30 +/- 0.12,0.11 +/- 0.11,0.13 +/- 0.09,0.16 +/- 0.11,233 +/- 11
Read 2 (I)
Lane,Surface,Tiles,Density,Cluster PF,Phas/Prephas,Phasing Equation,Prephas Equation,Reads,Reads PF,%>=Q30,Yield,Cycles Error,Aligned,Error,Error (35),Error (75),Error (100),Intensity C1
1,-,112,2355 +/- 0,76.69 +/- 2.37,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,370.41,94.95,2.60,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,685 +/- 54
1,1,56,2355 +/- 0,75.38 +/- 2.57,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,182.04,94.60,1.28,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,650 +/- 30
1,2,56,2355 +/- 0,78.00 +/- 1.12,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,188.37,95.29,1.32,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,721 +/- 50
2,-,112,2355 +/- 0,73.96 +/- 1.74,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,357.20,94.89,2.50,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,735 +/- 39
2,1,56,2355 +/- 0,72.60 +/- 1.34,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,175.33,94.65,1.23,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,698 +/- 14
2,2,56,2355 +/- 0,75.31 +/- 0.78,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,181.88,95.12,1.27,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,772 +/- 9
3,-,112,2355 +/- 0,78.26 +/- 1.14,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,377.98,95.52,2.65,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,622 +/- 42
