,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32
Sample 1,1,0.381325626,0.259415766,0.252155642,-0.118136475,-0.354680768,-0.591225062,-0.827769355,-1.064313649,-1.300857942,-1.537402235,-1.773946529,-2.010490822,-2.247035116,-2.483579409,-2.720123702,-2.956667996,-3.193212289,-3.429756583,-3.666300876,-3.902845169,-4.139389463,-4.375933756,-4.61247805,-4.849022343,-5.085566636,-5.32211093,-5.558655223,-5.795199517,-6.03174381,-6.268288103,-6.504832397
Sample 2,0.381325626,1,0.251078222,0.231635569,0.166511867,0.046712672,-0.073086523,-0.192885718,-0.312684913,-0.432484108,-0.552283302,-0.672082497,-0.791881692,-0.911680887,-1.031480082,-1.151279277,-1.271078472,-1.390877667,-1.510676862,-1.630476057,-1.750275251,-1.870074446,-1.989873641,-2.109672836,-2.229472031,-2.349271226,-2.469070421,-2.588869616,-2.708668811,-2.828468006,-2.9482672,-3.068066395
Sample 3,0.259415766,0.251078222,1,0.370585267,0.740877384,0.849120412,0.95736344,1.065606468,1.173849496,1.282092525,1.390335553,1.498578581,1.606821609,1.715064637,1.823307665,1.931550693,2.039793721,2.148036749,2.256279777,2.364522806,2.472765834,2.581008862,2.68925189,2.797494918,2.905737946,3.013980974,3.122224002,3.23046703,3.338710058,3.446953087,3.555196115,3.663439143
Sample 4,0.252155642,0.231635569,0.370585267,1,1.059214813,1.29746309,1.535711367,1.773959644,2.012207921,2.250456199,2.488704476,2.726952753,2.96520103,3.203449307,3.441697585,3.679945862,3.918194139,4.156442416,4.394690693,4.632938971,4.871187248,5.109435525,5.347683802,5.585932079,5.824180357,6.062428634,6.300676911,6.538925188,6.777173465,7.015421743,7.25367002,7.491918297
Sample 5,-0.118136475,0.166511867,0.740877384,1.059214813,1.488721742,1.89936368,2.310005618,2.720647556,3.131289494,3.541931432,3.95257337,4.363215308,4.773857246,5.184499184,5.595141122,6.005783059,6.416424997,6.827066935,7.237708873,7.648350811,8.058992749,8.469634687,8.880276625,9.290918563,9.701560501,10.11220244,10.52284438,10.93348631,11.34412825,11.75477019,12.16541213,12.57605407
Sample 6,-0.354680768,0.046712672,0.849120412,1.29746309,1.89936368,2.475247611,3.051131543,3.627015474,4.202899406,4.778783337,5.354667269,5.9305512,6.506435131,7.082319063,7.658202994,8.234086926,8.809970857,9.385854789,9.96173872,10.53762265,11.11350658,11.68939051,12.26527445,12.84115838,13.41704231,13.99292624,14.56881017,15.1446941,15.72057803,16.29646197,16.8723459,17.44822983
Sample 7,-0.591225062,-0.073086523,0.95736344,1.535711367,2.310005618,3.051131543,3.792257468,4.533383393,5.274509318,6.015635242,6.756761167,7.497887092,8.239013017,8.980138942,9.721264867,10.46239079,11.20351672,11.94464264,12.68576857,13.42689449,14.16802042,14.90914634,15.65027227,16.39139819,17.13252412,17.87365004,18.61477597,19.35590189,20.09702782,20.83815374,21.57927967,22.32040559
Sample 8,-0.827769355,-0.192885718,1.065606468,1.773959644,2.720647556,3.627015474,4.533383393,5.439751311,6.346119229,7.252487148,8.158855066,9.065222985,9.971590903,10.87795882,11.78432674,12.69069466,13.59706258,14.50343049,15.40979841,16.31616633,17.22253425,18.12890217,19.03527009,19.94163801,20.84800592,21.75437384,22.66074176,23.56710968,24.4734776,25.37984552,26.28621343,27.19258135
Sample 9,-1.064313649,-0.312684913,1.173849496,2.012207921,3.131289494,4.202899406,5.274509318,6.346119229,7.417729141,8.489339053,9.560948965,10.63255888,11.70416879,12.7757787,13.84738861,14.91899852,15.99060844,17.06221835,18.13382826,19.20543817,20.27704808,21.348658,22.42026791,23.49187782,24.56348773,25.63509764,26.70670755,27.77831747,28.84992738,29.92153729,30.9931472,32.06475711
Sample 10,-1.300857942,-0.432484108,1.282092525,2.250456199,3.541931432,4.778783337,6.015635242,7.252487148,8.489339053,9.726190959,10.96304286,12.19989477,13.43674667,14.67359858,15.91045049,17.14730239,18.3841543,19.6210062,20.85785811,22.09471001,23.33156192,24.56841382,25.80526573,27.04211763,28.27896954,29.51582144,30.75267335,31.98952525,33.22637716,34.46322907,35.70008097,36.93693288
